date,open,high,low,close
1,1.09,1.107,1.067,1.099
2,1.102,1.132,1.095,1.104
3,1.109,1.155,1.106,1.15
4,1.153,1.172,1.136,1.16
5,1.159,1.187,1.15,1.184
6,1.184,1.184,1.172,1.182
7,1.184,1.202,1.174,1.196
8,1.199,1.246,1.192,1.24
9,1.242,1.249,1.212,1.233
10,1.228,1.238,1.19,1.2
11,1.211,1.236,1.208,1.235
12,1.239,1.245,1.195,1.196
13,1.203,1.234,1.192,1.228
14,1.233,1.256,1.227,1.251
15,1.254,1.261,1.23,1.238
16,1.236,1.262,1.232,1.243
17,1.241,1.251,1.223,1.236
18,1.232,1.236,1.194,1.198
19,1.208,1.211,1.166,1.168
20,1.161,1.187,1.161,1.163
21,1.164,1.173,1.134,1.144
22,1.145,1.155,1.138,1.149
23,1.149,1.169,1.136,1.167
24,1.166,1.178,1.148,1.161
25,1.161,1.213,1.157,1.206
26,1.207,1.232,1.184,1.229
27,1.223,1.23,1.197,1.199
28,1.2,1.211,1.188,1.207
29,1.207,1.221,1.2,1.207
30,1.208,1.223,1.201,1.201
31,1.204,1.214,1.155,1.158
32,1.144,1.158,1.13,1.156
33,1.144,1.165,1.117,1.162
34,1.158,1.175,1.147,1.158
35,1.164,1.177,1.155,1.172
36,1.172,1.22,1.169,1.212
37,1.214,1.254,1.203,1.224
38,1.223,1.224,1.192,1.195
39,1.196,1.198,1.172,1.185
40,1.183,1.217,1.178,1.208
41,1.208,1.223,1.203,1.211
42,1.214,1.217,1.2,1.215
43,1.221,1.234,1.2,1.233
44,1.234,1.244,1.205,1.205
45,1.214,1.217,1.186,1.201
46,1.2,1.22,1.191,1.214
47,1.222,1.224,1.176,1.186
48,1.183,1.196,1.175,1.191
49,1.184,1.239,1.184,1.234
50,1.236,1.262,1.234,1.258
51,1.258,1.284,1.253,1.279
52,1.277,1.279,1.269,1.272
