"country","density","CAGR","note","latitude","longitude","color"
"Monaco",26150.3356,0.547972720554935,"人口密度为： 26150.34 ，年复合增长率为： 0.55 %。",43.750298,7.412841,"red"
"China, Macao SAR",21419.5652,1.95098443290558,"人口密度为： 21419.57 ，年复合增长率为： 1.95 %。",NA,NA,"red"
"Singapore",8291.91,1.37910427849557,"人口密度为： 8291.91 ，年复合增长率为： 1.38 %。",1.352083,103.819836,"red"
"China, Hong Kong SAR",7082.0514,0.727803275797356,"人口密度为： 7082.05 ，年复合增长率为： 0.73 %。",22.396428,114.109497,"red"
"Gibraltar",3370.1,0.170244916700146,"人口密度为： 3370.1 ，年复合增长率为： 0.17 %。",36.137741,-5.345374,"red"
"Bahrain",2159.4368,3.15549515316327,"人口密度为： 2159.44 ，年复合增长率为： 3.16 %。",25.930414,50.637772,"red"
"Holy See",1815.9091,0.0502008569677859,"人口密度为： 1815.91 ，年复合增长率为： 0.05 %。",NA,NA,"red"
"Maldives",1769.8433,4.22882953271746,"人口密度为： 1769.84 ，年复合增长率为： 4.23 %。",3.202778,73.22068,"red"
"Malta",1376.1625,0.681678984766987,"人口密度为： 1376.16 ，年复合增长率为： 0.68 %。",35.937496,14.375416,"red"
"Bangladesh",1252.5633,1.1138680092321,"人口密度为： 1252.56 ，年复合增长率为： 1.11 %。",23.684994,90.356331,"red"
"Bermuda",1250.12,-0.254484468841476,"人口密度为： 1250.12 ，年复合增长率为： -0.25 %。",32.321384,-64.75737,"blue"
"Sint Maarten (Dutch part)",1246.7059,2.77796561650192,"人口密度为： 1246.71 ，年复合增长率为： 2.78 %。",NA,NA,"red"
"Channel Islands",906.6263,0.842296020677891,"人口密度为： 906.63 ，年复合增长率为： 0.84 %。",NA,NA,"red"
"State of Palestine",827.4784,2.31083587578607,"人口密度为： 827.48 ，年复合增长率为： 2.31 %。",NA,NA,"red"
"Saint Martin (French part)",717.0189,0.123561587457299,"人口密度为： 717.02 ，年复合增长率为： 0.12 %。",NA,NA,"red"
"Mayotte",709.7333,2.73764799457454,"人口密度为： 709.73 ，年复合增长率为： 2.74 %。",-12.8275,45.166244,"red"
"Other non-specified areas",671.3888,0.277850029834137,"人口密度为： 671.39 ，年复合增长率为： 0.28 %。",NA,NA,"red"
"Lebanon",670.1577,3.67798563797594,"人口密度为： 670.16 ，年复合增长率为： 3.68 %。",33.854721,35.862285,"red"
"Barbados",667.5,0.191269631762592,"人口密度为： 667.5 ，年复合增长率为： 0.19 %。",13.193887,-59.543198,"red"
"Mauritius",625.4522,0.191840909400121,"人口密度为： 625.45 ，年复合增长率为： 0.19 %。",-20.348404,57.552152,"red"
"Aruba",590.6333,0.497616743666707,"人口密度为： 590.63 ，年复合增长率为： 0.5 %。",12.52111,-69.968338,"red"
"San Marino",564.3333,0.945609643037804,"人口密度为： 564.33 ，年复合增长率为： 0.95 %。",43.94236,12.457777,"red"
"Nauru",537.8,0.785085373271688,"人口密度为： 537.8 ，年复合增长率为： 0.79 %。",-0.522778,166.931503,"red"
